Tag_Number,Plant_Unit_Code,Subsystem_Description,Equipment_Service_Name,PID_Drawing_Reference,Instrument_Type,Measurement_Unit,Calibrated_Span,Design_Code_Standard,Metallurgy_Specification,Piping_Line_Size_Inches,Flange_Rating_ANSI,Design_Pressure_PSIG,Operating_Pressure_PSIG,Design_Temp_DegC,Operating_Temp_DegC,Safety_Integrity_Level,Voting_Logic,Normal_Operating_Value,Alarm_Low_PAL,Alarm_High_PAH,Trip_Low_PSLL,Trip_High_PSHH,Fail_Safe_Position,Four_Eyes_Auth_Required,Last_Calibration_Date,Next_Calibration_Due,Health_Integrity_Status,Assigned_Area_Engineer
02-PT-101B,Unit 02 - DHDT,Diesel Hydrotreating Complex,Unit 02 - DHDT Pressure Transmitter Loop #101,PID-MRPL-DHDT-101-REV4.2,Pressure Transmitter,barg,0 - 100 barg,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,6,300# RF,1658,1037,499,429,SIL-2,1oo2,67.24,60.0,80.0,50.0,85.0,N/A,TRUE,2024-06-03,2025-06-03,CRITICAL (Immediate Turnaround Recalibration),Er. R. K. Shenoy (EMP-3841)
04-LT-102C,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Level Radar Transmitter Loop #102,PID-MRPL-HGU-102-REV4.2,Level Radar Transmitter,%,0 - 100 %,API 610 / API 682 / IEC 61508,Incoloy 800H High Temp Alloy,2,1500# RTJ,1616,1232,399,309,SIL-2,1oo2,54.55,35.0,75.0,20.0,85.0,N/A,TRUE,2024-08-16,2025-08-16,OPTIMAL (Normal In-Service Calibration),Er. R. K. Shenoy (EMP-3841)
03-MOV-103D,Unit 03 - PFCCU,Fluid Catalytic Cracking & PRU,Unit 03 - PFCCU Motor Operated Isolation Valve Loop #103,PID-MRPL-FCCU-103-REV4.2,Motor Operated Isolation Valve,Status,Full Stroke Open/Close,API 610 / API 682 / IEC 61508,AISI 316L Stainless Steel,4,600# RF,1713,1171,167,128,SIL-2,1oo2,0.98,0.0,1.0,0.0,1.0,Fail Locked (FL),TRUE,2024-07-13,2025-07-13,OPTIMAL (Normal In-Service Calibration),Er. R. K. Shenoy (EMP-3841)
08-SV-104A,Unit 08 - SWRO,30 MLD Sea Water Desalination Facility,Unit 08 - SWRO ASME VIII Safety Relief Valve Loop #104,PID-MRPL-SWRO-104-REV4.2,ASME VIII Safety Relief Valve,barg,Pop Set Pressure,API 610 / API 682 / IEC 61508,ASTM A216 Gr WCB Cast Steel,3,900# RTJ,1848,1399,305,245,SIL-1,1oo1,0.0,0.0,0.0,0.0,88.0,Fail Open (FO),TRUE,2024-12-13,2025-12-13,OPTIMAL (Normal In-Service Calibration),Er. S. P. Hegde (EMP-2914)
02-LT-105B,Unit 02 - DHDT,Diesel Hydrotreating Complex,Unit 02 - DHDT Level Radar Transmitter Loop #105,PID-MRPL-DHDT-105-REV4.2,Level Radar Transmitter,%,0 - 100 %,API 610 / API 682 / IEC 61508,ASTM A216 Gr WCB Cast Steel,8,900# RTJ,1451,1173,203,155,Non-SIL,1oo1,52.44,35.0,75.0,20.0,85.0,N/A,FALSE,2024-08-22,2025-08-22,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
02-AT-106C,Unit 02 - DHDT,Diesel Hydrotreating Complex,Unit 02 - DHDT Online Gas Analyzer (H2S/O2/CO) Loop #106,PID-MRPL-DHDT-106-REV4.2,Online Gas Analyzer (H2S/O2/CO),ppm,0 - 500 ppm,API 610 / API 682 / IEC 61508,ASTM A743 Gr CA6NM (12% Cr),36,1500# RTJ,484,346,258,226,SIL-2,1oo2,5.32,0.0,15.0,0.0,50.0,N/A,TRUE,2024-03-26,2025-03-26,OPTIMAL (Normal In-Service Calibration),Er. S. P. Hegde (EMP-2914)
01-LT-107D,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU Level Radar Transmitter Loop #107,PID-MRPL-CDU-107-REV4.2,Level Radar Transmitter,%,0 - 100 %,API 610 / API 682 / IEC 61508,ASTM A106 Gr B Carbon Steel,12,600# RF,285,186,410,351,SIL-1,1oo1,53.37,35.0,75.0,20.0,85.0,N/A,FALSE,2024-04-25,2025-04-25,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
08-FT-108A,Unit 08 - SWRO,30 MLD Sea Water Desalination Facility,Unit 08 - SWRO Flow Transmitter Loop #108,PID-MRPL-SWRO-108-REV4.2,Flow Transmitter,MT/h,0 - 300 MT/h,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,6,300# RF,1679,1252,418,322,SIL-1,1oo1,176.69,130.0,220.0,100.0,245.0,N/A,FALSE,2024-10-27,2025-10-27,OPTIMAL (Normal In-Service Calibration),Er. R. K. Shenoy (EMP-3841)
01-TT-109B,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU Temperature Transmitter Loop #109,PID-MRPL-CDU-109-REV4.2,Temperature Transmitter,deg C,0 - 500 deg C,API 610 / API 682 / IEC 61508,ASTM A743 Gr CA6NM (12% Cr),4,2500# RTJ,1371,844,315,254,Non-SIL,1oo1,358.16,310.0,385.0,270.0,410.0,N/A,FALSE,2024-08-30,2025-08-30,OPTIMAL (Normal In-Service Calibration),Er. R. K. Shenoy (EMP-3841)
02-SV-110C,Unit 02 - DHDT,Diesel Hydrotreating Complex,Unit 02 - DHDT ASME VIII Safety Relief Valve Loop #110,PID-MRPL-DHDT-110-REV4.2,ASME VIII Safety Relief Valve,barg,Pop Set Pressure,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,10,2500# RTJ,751,532,352,246,SIL-3,2oo3,0.0,0.0,0.0,0.0,88.0,Fail Open (FO),TRUE,2024-08-24,2025-08-24,OPTIMAL (Normal In-Service Calibration),Er. Jane D'Souza (EMP-7102)
02-VT-111D,Unit 02 - DHDT,Diesel Hydrotreating Complex,Unit 02 - DHDT Bearing Vibration Accelerometer Loop #111,PID-MRPL-DHDT-111-REV4.2,Bearing Vibration Accelerometer,mm/s RMS,0 - 25 mm/s,API 610 / API 682 / IEC 61508,Incoloy 800H High Temp Alloy,6,1500# RTJ,915,723,396,345,SIL-2,1oo2,2.35,1.0,4.5,0.5,7.0,N/A,TRUE,2025-01-05,2026-01-05,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
01-TT-112A,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU Temperature Transmitter Loop #112,PID-MRPL-CDU-112-REV4.2,Temperature Transmitter,deg C,0 - 500 deg C,API 610 / API 682 / IEC 61508,AISI 316L Stainless Steel,6,600# RF,643,526,160,114,SIL-3,2oo3,359.19,310.0,385.0,270.0,410.0,N/A,TRUE,2024-12-01,2025-12-01,OPTIMAL (Normal In-Service Calibration),Er. Sunita Patil (EMP-2490)
03-FT-113B,Unit 03 - PFCCU,Fluid Catalytic Cracking & PRU,Unit 03 - PFCCU Flow Transmitter Loop #113,PID-MRPL-FCCU-113-REV4.2,Flow Transmitter,MT/h,0 - 300 MT/h,API 610 / API 682 / IEC 61508,UNS S31803 2205 Duplex Stainless Steel,4,1500# RTJ,1230,1006,336,293,SIL-1,1oo1,197.7,130.0,220.0,100.0,245.0,N/A,FALSE,2024-09-25,2025-09-25,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
06-XV-114C,Unit 06 - PPU,Polypropylene Polymer Plant,Unit 06 - PPU Emergency Shutdown (ESD) Valve Loop #114,PID-MRPL-PPU-114-REV4.2,Emergency Shutdown (ESD) Valve,Status,Trip Action Fast Stroke,API 610 / API 682 / IEC 61508,Incoloy 800H High Temp Alloy,3,900# RTJ,610,375,130,104,SIL-2,1oo2,0.96,0.0,1.0,0.0,1.0,Fail Closed (FC),TRUE,2024-09-15,2025-09-15,CRITICAL (Immediate Turnaround Recalibration),Er. M. B. Nayak (EMP-4102)
01-LT-115D,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU Level Radar Transmitter Loop #115,PID-MRPL-CDU-115-REV4.2,Level Radar Transmitter,%,0 - 100 %,API 610 / API 682 / IEC 61508,ASTM A216 Gr WCB Cast Steel,10,150# RF,1202,792,462,363,SIL-3,2oo3,55.35,35.0,75.0,20.0,85.0,N/A,TRUE,2024-05-08,2025-05-08,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
07-LT-116A,Unit 07 - SPM/COT,Single Point Mooring & Tank Farm,Unit 07 - SPM/COT Level Radar Transmitter Loop #116,PID-MRPL-SPM-116-REV4.2,Level Radar Transmitter,%,0 - 100 %,API 610 / API 682 / IEC 61508,ASTM A216 Gr WCB Cast Steel,30,150# RF,875,617,359,307,Non-SIL,1oo1,51.08,35.0,75.0,20.0,85.0,N/A,FALSE,2024-11-16,2025-11-16,ALERT (Scheduled Inspection Window),Er. M. B. Nayak (EMP-4102)
06-TT-117B,Unit 06 - PPU,Polypropylene Polymer Plant,Unit 06 - PPU Temperature Transmitter Loop #117,PID-MRPL-PPU-117-REV4.2,Temperature Transmitter,deg C,0 - 500 deg C,API 610 / API 682 / IEC 61508,SA-516 Gr 70 Boiler Quality,6,300# RF,437,308,262,205,Non-SIL,1oo1,381.57,310.0,385.0,270.0,410.0,N/A,FALSE,2024-11-28,2025-11-28,OPTIMAL (Normal In-Service Calibration),Er. Sunita Patil (EMP-2490)
02-PT-118C,Unit 02 - DHDT,Diesel Hydrotreating Complex,Unit 02 - DHDT Pressure Transmitter Loop #118,PID-MRPL-DHDT-118-REV4.2,Pressure Transmitter,barg,0 - 100 barg,API 610 / API 682 / IEC 61508,Incoloy 800H High Temp Alloy,3,150# RF,490,343,366,270,SIL-2,1oo2,70.86,60.0,80.0,50.0,85.0,N/A,TRUE,2024-12-06,2025-12-06,ALERT (Scheduled Inspection Window),Er. R. K. Shenoy (EMP-3841)
07-VT-119D,Unit 07 - SPM/COT,Single Point Mooring & Tank Farm,Unit 07 - SPM/COT Bearing Vibration Accelerometer Loop #119,PID-MRPL-SPM-119-REV4.2,Bearing Vibration Accelerometer,mm/s RMS,0 - 25 mm/s,API 610 / API 682 / IEC 61508,UNS S31803 2205 Duplex Stainless Steel,12,600# RF,467,302,231,201,Non-SIL,1oo1,2.23,1.0,4.5,0.5,7.0,N/A,FALSE,2024-04-03,2025-04-03,ALERT (Scheduled Inspection Window),Er. S. P. Hegde (EMP-2914)
01-PT-120A,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU Pressure Transmitter Loop #120,PID-MRPL-CDU-120-REV4.2,Pressure Transmitter,barg,0 - 100 barg,API 610 / API 682 / IEC 61508,UNS S31803 2205 Duplex Stainless Steel,20,1500# RTJ,266,223,161,137,SIL-2,1oo2,67.03,60.0,80.0,50.0,85.0,N/A,TRUE,2024-12-02,2025-12-02,OPTIMAL (Normal In-Service Calibration),Er. Jane D'Souza (EMP-7102)
