timestamp,component_id,discharge_pressure_bar,suction_pressure_bar,vibration_rms_mm_s,bearing_temperature_c,lube_oil_pressure_bar,motor_current_amps,status_indicator
2026-09-08 00:00:00,K-101,67.0,32.2,2.05,76.7,5.13,340.0,NOMINAL
2026-09-08 00:10:00,K-101,67.06,32.19,2.05,76.7,5.13,340.0,NOMINAL
2026-09-08 00:20:00,K-101,67.12,32.17,2.03,76.7,5.13,340.0,NOMINAL
2026-09-08 00:30:00,K-101,67.16,32.14,2.02,76.7,5.13,340.1,NOMINAL
2026-09-08 00:40:00,K-101,67.2,32.1,1.99,76.7,5.13,340.1,NOMINAL
2026-09-08 00:50:00,K-101,67.22,32.07,1.96,76.8,5.13,340.2,NOMINAL
2026-09-08 01:00:00,K-101,67.22,32.04,1.92,76.8,5.13,340.3,NOMINAL
2026-09-08 01:10:00,K-101,67.21,32.02,1.88,76.8,5.13,340.4,NOMINAL
2026-09-08 01:20:00,K-101,67.18,32.02,1.84,76.9,5.13,340.5,NOMINAL
2026-09-08 01:30:00,K-101,67.15,32.03,1.8,76.9,5.12,340.6,NOMINAL
2026-09-08 01:40:00,K-101,67.1,32.06,1.77,76.9,5.12,340.7,NOMINAL
2026-09-08 01:50:00,K-101,67.06,32.1,1.73,77.0,5.12,340.9,NOMINAL
2026-09-08 02:00:00,K-101,67.02,32.15,1.7,77.0,5.12,341.1,NOMINAL
2026-09-08 02:10:00,K-101,66.99,32.19,1.68,77.1,5.12,341.3,NOMINAL
2026-09-08 02:20:00,K-101,66.97,32.23,1.66,77.2,5.12,341.4,NOMINAL
2026-09-08 02:30:00,K-101,66.97,32.26,1.65,77.2,5.11,341.7,NOMINAL
2026-09-08 02:40:00,K-101,66.99,32.27,1.65,77.3,5.11,341.9,NOMINAL
2026-09-08 02:50:00,K-101,67.03,32.27,1.66,77.4,5.11,342.1,NOMINAL
2026-09-08 03:00:00,K-101,67.08,32.25,1.67,77.4,5.11,342.3,NOMINAL
2026-09-08 03:10:00,K-101,67.15,32.22,1.69,77.5,5.1,342.6,NOMINAL
2026-09-08 03:20:00,K-101,67.23,32.19,1.72,77.6,5.1,342.9,NOMINAL
2026-09-08 03:30:00,K-101,67.32,32.17,1.75,77.7,5.1,343.1,NOMINAL
2026-09-08 03:40:00,K-101,67.4,32.15,1.79,77.8,5.1,343.4,NOMINAL
2026-09-08 03:50:00,K-101,67.49,32.14,1.83,77.9,5.09,343.7,NOMINAL
2026-09-08 04:00:00,K-101,67.56,32.15,1.87,78.0,5.09,344.0,NOMINAL
2026-09-08 04:10:00,K-101,67.62,32.18,1.91,78.0,5.09,344.3,NOMINAL
2026-09-08 04:20:00,K-101,67.66,32.22,1.94,78.1,5.08,344.6,NOMINAL
2026-09-08 04:30:00,K-101,67.69,32.27,1.98,78.2,5.08,344.9,NOMINAL
2026-09-08 04:40:00,K-101,67.7,32.32,2.01,78.3,5.08,345.3,NOMINAL
2026-09-08 04:50:00,K-101,67.69,32.37,2.03,78.4,5.07,345.6,NOMINAL
2026-09-08 05:00:00,K-101,67.68,32.41,2.04,78.6,5.07,345.9,NOMINAL
2026-09-08 05:10:00,K-101,67.65,32.43,2.05,78.7,5.07,346.3,NOMINAL
2026-09-08 05:20:00,K-101,67.63,32.45,2.05,78.8,5.06,346.6,NOMINAL
2026-09-08 05:30:00,K-101,67.6,32.44,2.04,78.9,5.06,347.0,NOMINAL
2026-09-08 05:40:00,K-101,67.59,32.43,2.02,79.0,5.06,347.3,NOMINAL
2026-09-08 05:50:00,K-101,67.59,32.4,2.0,79.1,5.05,347.7,NOMINAL
2026-09-08 06:00:00,K-101,67.6,32.37,1.97,79.2,5.05,348.0,NOMINAL
2026-09-08 06:10:00,K-101,67.64,32.35,1.94,79.3,5.05,348.3,NOMINAL
2026-09-08 06:20:00,K-101,67.69,32.34,1.9,79.4,5.04,348.7,NOMINAL
2026-09-08 06:30:00,K-101,67.75,32.34,1.86,79.5,5.04,349.0,NOMINAL
2026-09-08 06:40:00,K-101,67.83,32.36,1.82,79.6,5.04,349.4,NOMINAL
2026-09-08 06:50:00,K-101,67.92,32.39,1.78,79.7,5.03,349.7,NOMINAL
2026-09-08 07:00:00,K-101,68.01,32.43,1.75,79.8,5.03,350.1,NOMINAL
2026-09-08 07:10:00,K-101,68.11,32.48,1.71,80.0,5.03,350.4,NOMINAL
