timestamp,component_id,discharge_pressure_psi,suction_pressure_psi,flow_rate_m3_h,bearing_temperature_c,vibration_rms_mm_s,motor_current_amps,reactor_inlet_pressure_psi,reactor_bed_temp_c,sv402_relief_valve_status,lube_oil_pressure_bar,status_indicator
2026-09-05 00:00:00,P-101A,104.62,19.77,377.71,69.56,2.244,178.0,96.12,398.9,CLOSED,3.49,NOMINAL
2026-09-05 00:05:00,P-101A,104.11,20.29,377.37,69.79,2.355,175.8,95.61,397.1,CLOSED,3.35,NOMINAL
2026-09-05 00:10:00,P-101A,105.12,19.94,377.65,69.15,2.205,177.4,96.62,398.1,CLOSED,3.35,NOMINAL
2026-09-05 00:15:00,P-101A,105.22,19.37,377.82,69.59,2.277,178.5,96.72,398.4,CLOSED,3.48,NOMINAL
2026-09-05 00:20:00,P-101A,105.7,19.93,378.39,69.03,2.457,175.8,97.2,398.6,CLOSED,3.32,NOMINAL
2026-09-05 00:25:00,P-101A,104.67,20.0,380.17,69.19,2.373,175.0,96.17,397.3,CLOSED,3.32,NOMINAL
2026-09-05 00:30:00,P-101A,104.56,19.39,376.5,69.6,2.331,175.1,96.06,397.6,CLOSED,3.45,NOMINAL
2026-09-05 00:35:00,P-101A,106.01,19.22,376.99,69.52,2.265,178.3,97.51,398.0,CLOSED,3.47,NOMINAL
2026-09-05 00:40:00,P-101A,105.36,19.78,375.46,69.44,2.429,176.7,96.86,398.7,CLOSED,3.47,NOMINAL
2026-09-05 00:45:00,P-101A,105.79,20.29,378.99,69.43,2.228,176.8,97.29,397.9,CLOSED,3.38,NOMINAL
2026-09-05 00:50:00,P-101A,106.37,20.2,379.2,69.06,2.415,177.1,97.87,398.4,CLOSED,3.39,NOMINAL
2026-09-05 00:55:00,P-101A,106.41,20.0,375.61,69.51,2.399,177.5,97.91,398.3,CLOSED,3.3,NOMINAL
2026-09-05 01:00:00,P-101A,107.01,19.62,378.77,68.99,2.494,173.8,98.51,397.8,CLOSED,3.31,NOMINAL
2026-09-05 01:05:00,P-101A,105.78,20.31,376.83,68.97,2.289,173.8,97.28,397.8,CLOSED,3.45,NOMINAL
2026-09-05 01:10:00,P-101A,106.86,20.04,378.95,69.09,2.442,176.9,98.36,397.3,CLOSED,3.46,NOMINAL
2026-09-05 01:15:00,P-101A,106.93,19.87,378.33,69.54,2.355,174.9,98.43,397.3,CLOSED,3.32,NOMINAL
2026-09-05 01:20:00,P-101A,106.24,19.31,376.44,69.53,2.414,175.2,97.74,398.4,CLOSED,3.38,NOMINAL
2026-09-05 01:25:00,P-101A,107.54,19.57,377.72,69.3,2.458,174.8,99.04,398.9,CLOSED,3.45,NOMINAL
2026-09-05 01:30:00,P-101A,107.25,19.63,374.93,69.44,2.401,178.0,98.75,397.9,CLOSED,3.37,NOMINAL
2026-09-05 01:35:00,P-101A,105.63,19.83,377.85,69.15,2.492,173.8,97.13,398.5,CLOSED,3.34,NOMINAL
2026-09-05 01:40:00,P-101A,106.29,19.29,378.72,69.01,2.305,175.9,97.79,398.7,CLOSED,3.45,NOMINAL
2026-09-05 01:45:00,P-101A,107.07,20.24,378.14,69.29,2.268,173.7,98.57,397.1,CLOSED,3.32,NOMINAL
2026-09-05 01:50:00,P-101A,105.93,19.34,375.45,69.05,2.499,174.0,97.43,398.4,CLOSED,3.44,NOMINAL
2026-09-05 01:55:00,P-101A,107.68,19.73,376.66,68.74,2.411,177.0,99.18,397.6,CLOSED,3.37,NOMINAL
2026-09-05 02:00:00,P-101A,106.05,19.83,381.69,68.51,2.232,178.3,97.55,397.0,CLOSED,3.42,NOMINAL
2026-09-05 02:05:00,P-101A,106.64,20.1,376.88,69.0,2.245,174.8,98.14,397.1,CLOSED,3.47,NOMINAL
2026-09-05 02:10:00,P-101A,107.36,19.51,375.29,68.52,2.247,177.7,98.86,398.5,CLOSED,3.39,NOMINAL
2026-09-05 02:15:00,P-101A,105.96,19.51,380.79,68.73,2.29,176.7,97.46,398.3,CLOSED,3.39,NOMINAL
2026-09-05 02:20:00,P-101A,106.67,20.26,378.6,68.51,2.275,177.8,98.17,397.3,CLOSED,3.48,NOMINAL
2026-09-05 02:25:00,P-101A,106.85,19.71,380.27,68.36,2.411,176.5,98.35,398.3,CLOSED,3.32,NOMINAL
2026-09-05 02:30:00,P-101A,106.32,19.3,374.32,68.27,2.336,175.5,97.82,398.0,CLOSED,3.36,NOMINAL
2026-09-05 02:35:00,P-101A,108.16,20.35,377.66,68.89,2.469,175.4,99.66,397.9,CLOSED,3.45,NOMINAL
2026-09-05 02:40:00,P-101A,105.88,20.09,379.91,68.79,2.451,177.2,97.38,398.2,CLOSED,3.41,NOMINAL
2026-09-05 02:45:00,P-101A,107.99,19.51,377.15,68.73,2.227,174.0,99.49,398.5,CLOSED,3.48,NOMINAL
2026-09-05 02:50:00,P-101A,106.17,19.51,374.22,68.67,2.387,176.8,97.67,397.6,CLOSED,3.46,NOMINAL
2026-09-05 02:55:00,P-101A,106.75,20.23,379.79,68.55,2.209,175.5,98.25,398.6,CLOSED,3.41,NOMINAL
2026-09-05 03:00:00,P-101A,107.71,20.26,381.81,68.53,2.235,177.7,99.21,397.1,CLOSED,3.43,NOMINAL
2026-09-05 03:05:00,P-101A,106.68,19.3,377.74,68.4,2.241,175.6,98.18,398.5,CLOSED,3.31,NOMINAL
2026-09-05 03:10:00,P-101A,107.25,19.82,379.35,68.4,2.232,175.6,98.75,398.5,CLOSED,3.49,NOMINAL
2026-09-05 03:15:00,P-101A,107.09,20.33,379.08,67.86,2.42,174.6,98.59,397.7,CLOSED,3.39,NOMINAL
2026-09-05 03:20:00,P-101A,107.17,19.93,377.93,68.08,2.458,176.4,98.67,398.5,CLOSED,3.37,NOMINAL
2026-09-05 03:25:00,P-101A,105.29,19.43,380.48,68.2,2.448,176.2,96.79,398.7,CLOSED,3.43,NOMINAL
2026-09-05 03:30:00,P-101A,105.81,19.75,376.25,67.61,2.459,177.0,97.31,397.6,CLOSED,3.48,NOMINAL
2026-09-05 03:35:00,P-101A,105.53,19.4,379.31,68.31,2.351,178.3,97.03,398.8,CLOSED,3.49,NOMINAL
2026-09-05 03:40:00,P-101A,106.16,19.64,378.06,67.55,2.492,173.7,97.66,398.7,CLOSED,3.49,NOMINAL
2026-09-05 03:45:00,P-101A,105.79,19.51,379.54,67.59,2.37,176.6,97.29,397.6,CLOSED,3.48,NOMINAL
2026-09-05 03:50:00,P-101A,106.12,20.14,380.87,67.95,2.29,176.7,97.62,398.1,CLOSED,3.39,NOMINAL
2026-09-05 03:55:00,P-101A,106.8,19.98,375.86,67.66,2.347,175.6,98.3,398.7,CLOSED,3.43,NOMINAL
2026-09-05 04:00:00,P-101A,106.21,19.45,377.89,67.37,2.239,175.0,97.71,397.9,CLOSED,3.31,NOMINAL
2026-09-05 04:05:00,P-101A,104.85,19.3,378.55,67.28,2.23,176.8,96.35,398.9,CLOSED,3.39,NOMINAL
2026-09-05 04:10:00,P-101A,105.53,19.86,377.71,67.25,2.427,176.1,97.03,398.4,CLOSED,3.49,NOMINAL
2026-09-05 04:15:00,P-101A,104.79,20.0,378.49,67.85,2.244,178.4,96.29,398.1,CLOSED,3.33,NOMINAL
2026-09-05 04:20:00,P-101A,104.79,19.23,375.85,67.87,2.295,173.8,96.29,398.4,CLOSED,3.49,NOMINAL
2026-09-05 04:25:00,P-101A,106.14,20.36,379.0,67.25,2.34,177.1,97.64,398.7,CLOSED,3.32,NOMINAL
2026-09-05 04:30:00,P-101A,105.16,19.52,379.46,67.74,2.264,177.4,96.66,397.7,CLOSED,3.31,NOMINAL
2026-09-05 04:35:00,P-101A,104.37,19.36,381.17,67.34,2.284,174.5,95.87,398.9,CLOSED,3.49,NOMINAL
2026-09-05 04:40:00,P-101A,105.15,20.02,380.77,67.4,2.471,176.4,96.65,398.5,CLOSED,3.4,NOMINAL
2026-09-05 04:45:00,P-101A,105.52,19.24,374.72,67.3,2.336,177.8,97.02,397.7,CLOSED,3.42,NOMINAL
2026-09-05 04:50:00,P-101A,103.45,19.54,379.03,67.4,2.311,177.7,94.95,398.2,CLOSED,3.33,NOMINAL
2026-09-05 04:55:00,P-101A,104.62,20.28,376.56,67.0,2.436,177.9,96.12,398.7,CLOSED,3.5,NOMINAL
2026-09-05 05:00:00,P-101A,104.09,20.24,381.87,67.54,2.231,177.7,95.59,397.8,CLOSED,3.46,NOMINAL
2026-09-05 05:05:00,P-101A,102.99,19.25,380.82,67.46,2.446,176.0,94.49,397.7,CLOSED,3.32,NOMINAL
2026-09-05 05:10:00,P-101A,103.57,20.06,375.0,66.97,2.26,175.8,95.07,398.5,CLOSED,3.47,NOMINAL
2026-09-05 05:15:00,P-101A,102.8,19.88,378.83,66.94,2.255,177.6,94.3,397.0,CLOSED,3.43,NOMINAL
2026-09-05 05:20:00,P-101A,104.66,19.87,376.61,66.84,2.384,178.0,96.16,398.7,CLOSED,3.48,NOMINAL
2026-09-05 05:25:00,P-101A,104.34,19.63,375.87,66.92,2.317,176.3,95.84,398.3,CLOSED,3.49,NOMINAL
2026-09-05 05:30:00,P-101A,102.93,20.39,375.6,66.8,2.207,176.2,94.43,397.3,CLOSED,3.34,NOMINAL
2026-09-05 05:35:00,P-101A,103.22,19.55,376.55,67.0,2.289,176.6,94.72,398.7,CLOSED,3.39,NOMINAL
2026-09-05 05:40:00,P-101A,102.94,19.58,380.63,67.21,2.431,174.3,94.44,398.2,CLOSED,3.37,NOMINAL
2026-09-05 05:45:00,P-101A,102.31,19.94,379.64,66.85,2.462,177.3,93.81,398.2,CLOSED,3.31,NOMINAL
2026-09-05 05:50:00,P-101A,101.91,20.22,379.93,66.97,2.21,177.1,93.41,398.0,CLOSED,3.46,NOMINAL
2026-09-05 05:55:00,P-101A,103.44,19.26,380.76,66.72,2.382,175.2,94.94,398.6,CLOSED,3.32,NOMINAL
2026-09-05 06:00:00,P-101A,103.04,19.91,374.05,67.16,2.443,177.5,94.54,398.6,CLOSED,3.38,NOMINAL
2026-09-05 06:05:00,P-101A,103.25,20.4,379.04,67.16,2.361,178.2,94.75,398.3,CLOSED,3.34,NOMINAL
2026-09-05 06:10:00,P-101A,101.75,19.72,374.71,67.33,2.244,177.7,93.25,397.8,CLOSED,3.47,NOMINAL
2026-09-05 06:15:00,P-101A,101.8,19.52,374.39,66.99,2.343,173.9,93.3,397.6,CLOSED,3.46,NOMINAL
2026-09-05 06:20:00,P-101A,101.9,19.6,377.0,67.39,2.367,175.9,93.4,398.3,CLOSED,3.46,NOMINAL
2026-09-05 06:25:00,P-101A,101.73,20.33,377.03,66.96,2.302,174.6,93.23,398.4,CLOSED,3.41,NOMINAL
2026-09-05 06:30:00,P-101A,101.09,20.24,379.4,67.36,2.418,173.8,92.59,398.2,CLOSED,3.34,NOMINAL
2026-09-05 06:35:00,P-101A,102.0,20.1,380.96,66.61,2.327,177.9,93.5,399.0,CLOSED,3.46,NOMINAL
2026-09-05 06:40:00,P-101A,101.09,19.7,377.2,67.29,2.287,176.3,92.59,397.3,CLOSED,3.45,NOMINAL
2026-09-05 06:45:00,P-101A,101.7,19.38,381.27,67.12,2.259,175.0,93.2,397.3,CLOSED,3.38,NOMINAL
2026-09-05 06:50:00,P-101A,102.57,19.74,374.99,67.22,2.426,177.8,94.07,397.8,CLOSED,3.44,NOMINAL
2026-09-05 06:55:00,P-101A,103.06,19.91,376.21,66.91,2.443,178.0,94.56,397.7,CLOSED,3.33,NOMINAL
2026-09-05 07:00:00,P-101A,102.56,19.94,376.55,67.2,2.308,175.4,94.06,397.7,CLOSED,3.47,NOMINAL
2026-09-05 07:05:00,P-101A,101.97,19.64,376.45,67.15,2.476,175.4,93.47,397.5,CLOSED,3.45,NOMINAL
2026-09-05 07:10:00,P-101A,102.96,20.36,381.65,67.07,2.266,174.2,94.46,398.6,CLOSED,3.43,NOMINAL
2026-09-05 07:15:00,P-101A,102.73,20.4,375.73,66.86,2.467,176.9,94.23,397.7,CLOSED,3.34,NOMINAL
2026-09-05 07:20:00,P-101A,101.22,19.8,376.42,67.33,2.247,174.7,92.72,398.0,CLOSED,3.33,NOMINAL
2026-09-05 07:25:00,P-101A,101.32,20.3,381.3,66.93,2.416,177.2,92.82,398.7,CLOSED,3.31,NOMINAL
2026-09-05 07:30:00,P-101A,100.97,19.85,375.91,66.92,2.318,177.7,92.47,397.8,CLOSED,3.37,NOMINAL
2026-09-05 07:35:00,P-101A,101.59,19.91,376.83,67.11,2.262,174.4,93.09,398.7,CLOSED,3.49,NOMINAL
2026-09-05 07:40:00,P-101A,103.26,19.84,381.54,67.25,2.355,177.1,94.76,397.1,CLOSED,3.31,NOMINAL
2026-09-05 07:45:00,P-101A,101.89,19.57,380.46,66.95,2.461,176.0,93.39,398.0,CLOSED,3.32,NOMINAL
2026-09-05 07:50:00,P-101A,102.3,20.2,379.73,67.45,2.314,176.8,93.8,397.0,CLOSED,3.48,NOMINAL
2026-09-05 07:55:00,P-101A,101.37,19.82,374.27,67.59,2.401,173.6,92.87,397.9,CLOSED,3.42,NOMINAL
2026-09-05 08:00:00,P-101A,103.34,19.3,376.24,67.09,2.204,175.1,94.84,397.2,CLOSED,3.4,NOMINAL
2026-09-05 08:05:00,P-101A,101.88,19.59,377.82,67.4,2.262,177.6,93.38,397.8,CLOSED,3.42,NOMINAL
2026-09-05 08:10:00,P-101A,102.73,19.44,379.17,67.18,2.351,175.3,94.23,398.1,CLOSED,3.49,NOMINAL
2026-09-05 08:15:00,P-101A,102.84,19.38,374.79,67.7,2.241,176.5,94.34,397.9,CLOSED,3.43,NOMINAL
2026-09-05 08:20:00,P-101A,101.88,20.12,378.63,67.9,2.465,173.9,93.38,397.8,CLOSED,3.35,NOMINAL
2026-09-05 08:25:00,P-101A,103.53,19.97,375.41,67.87,2.273,176.9,95.03,398.6,CLOSED,3.48,NOMINAL
2026-09-05 08:30:00,P-101A,103.55,20.11,378.0,68.04,2.232,177.9,95.05,398.5,CLOSED,3.36,NOMINAL
2026-09-05 08:35:00,P-101A,102.59,19.3,377.81,67.84,2.202,178.3,94.09,397.8,CLOSED,3.44,NOMINAL
2026-09-05 08:40:00,P-101A,103.5,19.34,376.75,67.71,2.442,175.7,95.0,397.4,CLOSED,3.44,NOMINAL
2026-09-05 08:45:00,P-101A,104.57,20.35,377.86,67.8,2.229,174.9,96.07,398.3,CLOSED,3.36,NOMINAL
2026-09-05 08:50:00,P-101A,104.61,20.24,381.71,67.55,2.449,177.3,96.11,397.8,CLOSED,3.35,NOMINAL
2026-09-05 08:55:00,P-101A,102.84,20.29,378.56,67.66,2.435,175.0,94.34,397.6,CLOSED,3.39,NOMINAL
2026-09-05 09:00:00,P-101A,103.17,19.49,380.85,67.86,2.434,177.2,94.67,397.8,CLOSED,3.38,NOMINAL
2026-09-05 09:05:00,P-101A,103.91,20.31,376.58,68.09,2.279,173.8,95.41,398.9,CLOSED,3.42,NOMINAL
2026-09-05 09:10:00,P-101A,105.05,19.32,379.77,68.44,2.266,176.0,96.55,397.4,CLOSED,3.49,NOMINAL
2026-09-05 09:15:00,P-101A,103.12,19.55,376.96,67.79,2.392,175.1,94.62,397.8,CLOSED,3.47,NOMINAL
2026-09-05 09:20:00,P-101A,105.04,19.44,377.2,67.99,2.444,178.4,96.54,397.2,CLOSED,3.46,NOMINAL
2026-09-05 09:25:00,P-101A,103.7,20.1,379.74,68.45,2.454,176.6,95.2,399.0,CLOSED,3.44,NOMINAL
2026-09-05 09:30:00,P-101A,104.38,19.82,374.34,68.1,2.457,177.6,95.88,398.7,CLOSED,3.32,NOMINAL
2026-09-05 09:35:00,P-101A,104.22,20.04,380.73,68.08,2.4,174.9,95.72,397.6,CLOSED,3.39,NOMINAL
2026-09-05 09:40:00,P-101A,104.25,19.87,379.21,68.62,2.272,176.2,95.75,397.2,CLOSED,3.37,NOMINAL
2026-09-05 09:45:00,P-101A,105.28,20.17,377.02,68.7,2.373,177.4,96.78,397.8,CLOSED,3.37,NOMINAL
2026-09-05 09:50:00,P-101A,105.58,19.63,375.23,68.42,2.409,178.4,97.08,398.7,CLOSED,3.47,NOMINAL
2026-09-05 09:55:00,P-101A,106.26,19.63,374.47,68.14,2.282,177.5,97.76,398.7,CLOSED,3.39,NOMINAL
2026-09-05 10:00:00,P-101A,106.18,19.71,380.3,68.26,2.22,176.8,97.68,397.9,CLOSED,3.45,NOMINAL
2026-09-05 10:05:00,P-101A,104.44,19.21,381.02,68.67,2.341,176.6,95.94,398.8,CLOSED,3.32,NOMINAL
2026-09-05 10:10:00,P-101A,105.09,19.32,379.62,68.85,2.296,176.2,96.59,398.0,CLOSED,3.41,NOMINAL
